permno,date,prc,ret,retx,mcap,in_sp,in_sp_tm5,Adj Close
70033,10/7/2020,27.55999947,0.029510608,0.029510608,4223321.878,0,0,0.017396755
70092,10/7/2020,38.41999817,-0.007235209,-0.007235209,3478047.174,0,0,0.017396755
70519,10/7/2020,44.84000015,0.009682511,0.009682511,93350826.92,1,1,0.017396755
70578,10/7/2020,201.3999939,0.025301641,0.025301641,57476537.26,1,1,0.017396755
71175,10/7/2020,18.89999962,0.037891299,0.037891299,3847227.222,1,1,0.017396755
71298,10/7/2020,26.95000076,-0.004064993,-0.004064993,47918044.61,0,0,0.017396755
71563,10/7/2020,42.02999878,0.02964231,0.02964231,56640004.62,1,1,0.017396755
72726,10/7/2020,63.40999985,0.039167475,0.039167475,22344605.98,1,1,0.017396755
73139,10/7/2020,217.3999939,0.032337707,0.032337707,81656742.11,1,1,0.017396755
75034,10/7/2020,12.97000027,0.016457682,0.016457682,8512535.425,1,1,0.017396755
75100,10/7/2020,117.6999969,0.00598288,0.00598288,14285130.93,1,1,0.017396755
75107,10/7/2020,268.5400085,0.014047282,0.014047282,12135322.99,1,1,0.017396755
75154,10/7/2020,15.98999977,0.052666243,0.052666243,9604601.233,1,1,0.017396755
75175,10/7/2020,6.550000191,0.012364822,0.012364822,378275.611,0,0,0.017396755
75186,10/7/2020,37.77999878,0.028027177,0.028027177,48684893.19,1,1,0.017396755
75241,10/7/2020,88.94000244,0.010337426,0.010337426,14610707.84,1,1,0.017396755
75341,10/7/2020,38.99000168,0,0,14448213,1,1,0.017396755
75510,10/7/2020,493.1499939,0.029583663,0.029583663,236573421.9,1,1,0.017396755
75573,10/7/2020,22.75,0.032917157,0.032917157,1198288,0,0,0.017396755
75591,10/7/2020,189.1799927,0.029270889,0.029270889,14284981.25,1,1,0.017396755
75607,10/7/2020,20.95999908,-0.011320833,-0.011320833,12408319.46,1,1,0.017396755
75694,10/7/2020,263.9400024,0.030250985,0.030250985,10188348.03,0,0,0.017396755
75819,10/7/2020,43.97999954,-0.007895382,-0.007895382,16408410.07,1,1,0.017396755
75825,10/7/2020,36.70999908,0.020005483,0.020005483,21374176.71,1,1,0.017396755
75828,10/7/2020,125.0100021,0.00136179,0.00136179,36252900.62,1,1,0.017396755
75912,10/7/2020,83.20999908,0.024501327,0.024501327,9662761.144,0,0,0.017396755
76076,10/7/2020,39.40000153,0.021519363,0.021519363,166796951.5,1,1,0.017396755
76082,10/7/2020,18.26000023,0.036910824,0.036910824,7278070.891,1,1,0.017396755
76095,10/7/2020,68.93000031,0.024372112,0.024372112,17749337.22,1,1,0.017396755
76185,10/7/2020,375.7600098,0.0324779,0.0324779,15120958.55,1,1,0.017396755
76201,10/7/2020,105.8300018,0.018183561,0.018183561,25934594.42,1,1,0.017396755
76226,10/7/2020,28.85000038,0.01405974,0.01405974,16271400.22,1,1,0.017396755
76230,10/7/2020,50.50999832,0.032290988,0.032290988,12637601.58,0,0,0.017396755
76282,10/7/2020,60.15999985,0.019142827,0.019142827,5246854.387,0,0,0.017396755
76605,10/7/2020,1139.98999,0.001282321,0.001282321,26648406.01,1,1,0.017396755
76614,10/7/2020,591.6900024,0.017278709,0.017278709,61994320.01,1,1,0.017396755
76644,10/7/2020,8.470000267,0.104302503,0.104302503,1866584.779,0,0,0.017396755
76708,10/7/2020,26.19000053,0.003832901,0.003832901,1358632.468,0,0,0.017396755
76709,10/7/2020,386.230011,0.004996002,0.004996002,32945419.94,1,1,0.017396755
